aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.2783015694304147,0.4284323615782475,0.8987829901648624,0.4526324505918548,0.4510118795164297,0.9315727713445078,0.4256532239839725,0.7985154586049882,0.3240047314965988
std,0.11660151551454775,0.17484865714454284,0.0587376668872382,0.28648824992517974,0.2350683482784329,0.06010287553574326,0.2471143093274616,0.03441851979359386,0.33236492434460063
min,0.10111886570205839,0.1533296225192866,0.8155381023137338,0.0,0.0,0.8873271367036953,0.0,0.7665072168064687,0.08844410483630748
max,0.4273996880965493,0.6519048927227534,0.9779240076416896,0.6989553656220323,0.605763792026317,1.0,0.628791114908159,0.8349215119496719,0.7041775681770683
