aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.33137104141091456,0.6946590600633965,0.895350068848639,0.15153761960244327,0.16666666666666666,1.0,0.15871581751226782,0.5,0.11852557991738162
std,0.16979148467244237,0.29335663714036525,0.08827170275560335,0.16611373577599145,0.18257418583505539,0.0,0.17389636846286047,0.0,0.13439043774972145
min,0.09934711171073018,0.17500652651223012,0.7283126787416587,0.0,0.0,1.0,0.0,0.5,0.020336828725770577
max,0.5849298750313904,0.9985908746927347,0.9796631712742294,0.31405571443703,0.3333333333333333,1.0,0.32340750436300175,0.5,0.2716873212583413
