aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.3074319847785024,0.4257849889779239,0.8924149154461191,0.42667353877270386,0.46902893355948566,0.9258734802040051,0.4276026976045734,0.8098049152470596,0.32990956327719145
std,0.12408327433906918,0.15918291147423205,0.05494933356244233,0.23825191518548047,0.23943138405755343,0.058869289049139406,0.23319665984251475,0.04386765398025131,0.32242979408382555
min,0.10097079626092167,0.14816207863578298,0.8121417957970707,0.05714285714285714,0.019230769230769232,0.8822670172363424,0.028776978417266185,0.7595480994483489,0.10245829942393392
max,0.45646882279021606,0.5748145299443375,0.9713436637656548,0.6666666666666666,0.6257763975155279,0.9928369871934013,0.645574689627553,0.8404160610629955,0.698900574841571
