aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.2865340100659406,0.6425278484014912,0.9274464020377838,0.18153258331564426,0.2,1.0,0.1902882070698783,0.5418413692715979,0.046844593847592195
std,0.12996552468161066,0.2823087635483047,0.036850989481724175,0.16585246713918056,0.18257418583505536,0.0,0.1737474985385008,0.023784697417084427,0.0290633413672314
min,0.105957887501053,0.18598567167943755,0.8843133092761621,0.0,0.0,1.0,0.0,0.5250230484395073,0.026293708082883366
max,0.44137037629083176,0.892886421551049,0.9779240076416896,0.313167763390646,0.3333333333333333,1.0,0.32293604757214256,0.5586596901036884,0.06739547961230102
