aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.27468842910473473,0.434099499870676,0.9010825727021864,0.4539436282338001,0.42469276081983126,0.9385024147198466,0.41444077498881016,0.7840903883890132,0.320357250980759
std,0.11505324243550726,0.1758904007922582,0.056756660490450105,0.2951844054405188,0.22935019498448872,0.054703831962861486,0.24819957480325247,0.05122299279937434,0.338283754451044
min,0.10007883670539398,0.1572623563901636,0.8212693695606028,0.0,0.0,0.8952618453865336,0.0,0.7375833144411698,0.0859868495934037
max,0.419763588809625,0.6512392362123435,0.9779240076416896,0.7247983870967742,0.5619472202333392,1.0,0.6307017543859649,0.8389922119821521,0.7081691036151532
