aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.29415948652804885,0.4270387712125088,0.8903629802589684,0.47756459848612326,0.5063415201102627,0.91014178214646,0.47807455946308913,0.8088190548265296,0.3549094713145002
std,0.12684568583784142,0.16429595881999934,0.06213314400304694,0.1976474095626738,0.1577514558766722,0.0662025112080991,0.17874357290514634,0.045009999335219326,0.3011390258815535
min,0.10157511398234352,0.1457379000509716,0.801316068775207,0.17164179104477612,0.2403846153846154,0.8697049371895997,0.2371134020618557,0.757160129978085,0.18073598326574172
max,0.4621520406496919,0.5962109227114143,0.9700700488219062,0.6414790996784566,0.6195652173913043,0.9865422183633601,0.6303317535545023,0.8395898382060745,0.702634681330735
