aggregation,log_loss,sample_weighted_log_loss,accuracy,precision,recall,specificity,f1,roc_auc,average_precision
mean,0.3551873721370645,0.5447641255326297,0.9274464020377838,0.18153258331564426,0.2,1.0,0.1902882070698783,0.5645040958895675,0.05169541256661454
std,0.15636286497599197,0.22294192420096468,0.036850989481724175,0.16585246713918056,0.18257418583505536,0.0,0.1737474985385008,0.0017983800231042406,0.0339034886934287
min,0.11192792246345655,0.1770702037986729,0.8843133092761621,0.0,0.0,1.0,0.0,0.5632324491800801,0.027722025805609667
max,0.5300684965606337,0.7693478737860967,0.9779240076416896,0.313167763390646,0.3333333333333333,1.0,0.32293604757214256,0.5657757425990549,0.07566879932761941
